AAA,BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF,50.23, 
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,1.23, 
AAD,ARDENT LEISURE GROUP,2.71, 
AAI,ALCOA INC.,15.55, 
AAJ,ARUMA RESOURCES LIMITED,0.04, 
AAK,AUSTRALIA CHINA HOLDINGS LIMITED,0.001, 
AAL,APAC COAL LIMITED,0.003, 
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,0.01, 
AAR,ANGLO AUSTRALIAN RESOURCES NL,0.01, 
AAT,AAT CORPORATION LIMITED,-, 
AAU,ADCORP AUSTRALIA LIMITED,0.064, 
AAX,AUSENCO LIMITED,0.5, 
AAZPB,AUSTRALAND ASSETS TRUST,99.42, 
ABC,ADELAIDE BRIGHTON LIMITED,3.45, 
ABCKOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-, 
ABCKOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.01, 
ABCKOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.365, 
ABCKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.99, 
ABF,AUSMANI LIMITED,-, 
ABOHG,THE ROYAL BANK OF SCOTLAND N.V.,-, 
ABOHH,THE ROYAL BANK OF SCOTLAND N.V.,-, 
ABP,ABACUS PROPERTY GROUP,2.5, 
ABU,ABM RESOURCES NL,0.02, 
ABV,ADVANCED BRAKING TECHNOLOGY LTD,0.007, 
ABW,AURORA ABSOLUTE RETURN FUND,1.025, 
ABX,AUSTRALIAN BAUXITE LIMITED.,0.23, 
ABY,ADITYA BIRLA MINERALS LIMITED,0.19, 
ACB,A-CAP RESOURCES LIMITED,0.045, 
ACE,ADVANCED ENGINE COMPONENTS LIMITED,0.019, 
ACG,ATCOR MEDICAL HOLDINGS LIMITED,0.094, 
ACJ,AFRICAN CHROME FIELDS LIMITED,0.002, 
ACK,AUSTOCK GROUP LIMITED,0.23, 
ACL,ALCHEMIA LIMITED,0.555, 
ACP,AUDALIA RESOURCES LIMITED,0.125, 
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,0.87, 
ACR,ACRUX LIMITED,1.005, 
ACRKOA,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.495, 
ACRKOE,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.4, 
ACRKOF,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.255, 
ACS,ACCENT RESOURCES NL,0.205, 
ACU,ACUVAX LIMITED,0.001, 
ACW,ACTINOGEN LIMITED,0.011, 
ADA,ADACEL TECHNOLOGIES LIMITED,0.3, 
ADD,ADAVALE RESOURCES LIMITED,0.002, 
ADJ,ADSLOT LTD,0.115, 
ADN,ADELAIDE RESOURCES LIMITED,0.042, 
ADO,ANTEO DIAGNOSTICS LIMITED,0.19, 
ADQ,ADG GLOBAL SUPPLY LIMITED.,0.012, 
ADX,ADX ENERGY LTD,0.012, 
ADY,ADMIRALTY RESOURCES NL.,0.012, 
AEB,ALGAE.TEC LIMITED,0.092, 
AED,AED OIL LIMITED,0.145, 
AEE,AURA ENERGY LIMITED,0.023, 
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,35.45, 
AEI,AERIS ENVIRONMENTAL LTD,0.09, 
AEJ,REDBANK ENERGY LIMITED,8, 
AEK,ANATOLIA ENERGY LIMITED,0.082, 
AEM,ARTIST & ENTERTAINMENT GROUP LIMITED,0.013, 
AES,ADVANCED ENERGY SYSTEMS LIMITED,0.035, 
AFA,ASF GROUP LIMITED,0.19, 
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,6.18, 
AFIG,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,118.8, 
AFIJOH,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),3.03, 
AFISZB,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,3.06, 
AFJ,AFFINITY EDUCATION GROUP LIMITED,1.25, 
AFR,AFRICAN ENERGY RESOURCES LIMITED,0.075, 
AFT,AFT CORPORATION LIMITED,0.001, 
AFV,AURORA FUNDS LIMITED,0.6, 
AGD,AUSTRAL GOLD LIMITED,0.08, 
AGE,ALLIGATOR ENERGY LIMITED,0.034, 
AGF,AMP CAPITAL CHINA GROWTH FUND,0.655, 
AGG,ANGLOGOLD ASHANTI LIMITED,3.44, 
AGH,AGRI - TRADE HOLDINGS LIMITED,-, 
AGI,AINSWORTH GAME TECHNOLOGY LIMITED,3.74, 
AGISRT,THE ROYAL BANK OF SCOTLAND PLC,2.07, 
AGJ,AGRICULTURAL LAND TRUST,0.08, 
AGK,AGL ENERGY LIMITED,15.48, 
AGKHA,AGL ENERGY LIMITED,107.02, 
AGKIOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),7.48, 
AGKIRQ,THE ROYAL BANK OF SCOTLAND PLC,6.39, 
AGKISD,UBS AG,2.54, 
AGKISE,UBS AG,1.71, 
AGKISF,UBS AG,-, 
AGKIYA,COMMONWEALTH BANK OF AUSTRALIA. ,-, 
AGKIYB,COMMONWEALTH BANK OF AUSTRALIA. ,-, 
AGKJOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),6.26, 
AGKJOH,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.63, 
AGKKOA,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.51, 
AGKKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.17, 
AGKKOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.42, 
